,restaurant,href,city,state
0, Balta,/Restaurant_Review-g150800-d19338104-Reviews-Balta-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
1, La Mansion Marriott Reforma,/Restaurant_Review-g150800-d2394477-Reviews-La_Mansion_Marriott_Reforma_Steakhouse-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
2, Condimento Restaurant,/Restaurant_Review-g150800-d1926008-Reviews-Condimento_Restaurant-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
3, La Distral,/Restaurant_Review-g150800-d12104177-Reviews-La_Distral-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
4, Restaurante Condimento Emporio Reforma,/Restaurant_Review-g150800-d22879733-Reviews-Restaurante_Condimento_Emporio_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
5, Sonora Grill Coapa,/Restaurant_Review-g150800-d20157621-Reviews-Sonora_Grill_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
6, Parole Polanco,/Restaurant_Review-g150800-d23312709-Reviews-Parole_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
7, Taquería y Restaurante Takotl,/Restaurant_Review-g150800-d20974480-Reviews-Restaurante_Takotl-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
8, Zefiro,/Restaurant_Review-g150800-d2236379-Reviews-Zefiro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
9, La Vicenta,/Restaurant_Review-g150800-d11727409-Reviews-La_Vicenta_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
10, Animal,/Restaurant_Review-g150800-d22880159-Reviews-Animal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
11, Parrilla Urbana División del Norte,/Restaurant_Review-g150800-d1071091-Reviews-Parrilla_Urbana_Division_del_Norte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Ciudad de México,
