city,href,state
Ciudad de México,/Restaurants-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast.html,
Guadalajara,/Restaurants-g150798-Guadalajara_Guadalajara_Metropolitan_Area.html,
Cancún,/Restaurants-g150807-Cancun_Yucatan_Peninsula.html,
Playa del Carmen,/Restaurants-g150812-Playa_del_Carmen_Yucatan_Peninsula.html,
Monterrey,/Restaurants-g150782-Monterrey_Northern_Mexico.html,
Puerto Vallarta,/Restaurants-g150793-Puerto_Vallarta.html,
Santiago de Querétaro,/Restaurants-g479232-Queretaro_City_Central_Mexico_and_Gulf_Coast.html,
Mérida,/Restaurants-g150811-Merida_Yucatan_Peninsula.html,
Puebla,/Restaurants-g152773-Puebla_Central_Mexico_and_Gulf_Coast.html,
Zapopan,/Restaurants-g1006488-Zapopan_Guadalajara_Metropolitan_Area.html,
Tijuana,/Restaurants-g150776-Tijuana_Baja_California.html,
Tulum,/Restaurants-g150813-Tulum_Yucatan_Peninsula.html,
Oaxaca,/Restaurants-g150801-Oaxaca_Southern_Mexico.html,
Cabo San Lucas,/Restaurants-g152515-Cabo_San_Lucas_Los_Cabos_Baja_California.html,
León,/Restaurants-g154240-Leon_Central_Mexico_and_Gulf_Coast.html,
San Luis Potosí,/Restaurants-g153477-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html,
San Miguel de Allende,/Restaurants-g151932-San_Miguel_de_Allende_Central_Mexico_and_Gulf_Coast.html,
Municipio de Ensenada,/Restaurants-g10767851-Ensenada_Municipality_Baja_California.html,
Mazatlán,/Restaurants-g150792-Mazatlan_Pacific_Coast.html,
Morelia,/Restaurants-g152771-Morelia_Central_Mexico_and_Gulf_Coast.html,
San Cristóbal de las Casas,/Restaurants-g150802-San_Cristobal_de_las_Casas_Southern_Mexico.html, Chiapas 
Aguascalientes,/Restaurants-g153976-Aguascalientes_Central_Mexico_and_Gulf_Coast.html, Aguascalientes 
Cozumel,/Restaurants-g150809-Cozumel_Yucatan_Peninsula.html, Quintana Roo 
San José Del Cabo,/Restaurants-g152516-San_Jose_del_Cabo_Los_Cabos_Baja_California.html, Los Cabos 
Acapulco,/Restaurants-g150787-Acapulco_Pacific_Coast.html, Guerrero 
Cuernavaca,/Restaurants-g150797-Cuernavaca_Central_Mexico_and_Gulf_Coast.html, Morelos 
La Paz,/Restaurants-g150771-La_Paz_Baja_California.html, Baja California Sur 
Zihuatanejo de Azueta,/Restaurants-g15131654-Zihuatanejo_de_Azueta_Pacific_Coast.html, Guerrero 
Chihuahua,/Restaurants-g1028202-Chihuahua_Northern_Mexico.html, Chihuahua 
Hermosillo,/Restaurants-g153979-Hermosillo_Northern_Mexico.html, Sonora 
Guanajuato,/Restaurants-g150799-Guanajuato_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
Tuxtla Gutiérrez,/Restaurants-g317142-Tuxtla_Gutierrez_Southern_Mexico.html, Chiapas 
Mexicali,/Restaurants-g154247-Mexicali_Baja_California.html, Baja California Norte 
Villahermosa,/Restaurants-g249850-Villahermosa_Central_Mexico_and_Gulf_Coast.html, Tabasco 
Ciudad Juárez,/Restaurants-g150780-Ciudad_Juarez_Northern_Mexico.html, Chihuahua 
Xalapa,/Restaurants-g154235-Xalapa_Central_Mexico_and_Gulf_Coast.html, Veracruz 
Culiacán,/Restaurants-g150781-Culiacan_Pacific_Coast.html, Sinaloa 
Saltillo,/Restaurants-g150785-Saltillo_Northern_Mexico.html, Coahuila 
Veracruz,/Restaurants-g150804-Veracruz_Central_Mexico_and_Gulf_Coast.html, Veracruz 
Puerto Escondido,/Restaurants-g153373-Puerto_Escondido_Southern_Mexico.html, Oaxaca 
