,restaurant,city,state,region,points,reviews,ranking,address,web_site,latitude,longitude
0, Balta,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,471 ,#1,"Avenida Paseo de La Reforma 297 Colonia Cuauhtémoc, Ciudad de México 06500 México",http://www.sofitel-mexico-city.com/restaurants/balta-restaurant/,19.428432,-99.16592
1, La Mansion Marriott Reforma,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,991 ,#2,"Paseo de la Reforma 276 Col. Juarez, Mexico City Marriott Reforma Hotel, Ciudad de México 06600 México",http://www.facebook.com/mansionmarriottreforma,19.428345,-99.16426
2, Condimento Restaurant,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,713 ,#3,"Avenida Paseo de La Reforma 276 Mexico City Marriott Reforma Hotel, Ciudad de México 06600 México",http://www.marriott.com/hotels/hotel-information/restaurant/MEXMC&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,19.427828,-99.164024
3, La Distral,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,377 ,#4,"Avenida Paseo de La Reforma 80 En el Hotel Fiesta Americana Reforma, Ciudad de México 06600 México",http://www.fiestamericana.com/hoteles-y-resorts/fiesta-americana-reforma-ciudad-de-mexico/hotel-dining/la-distral,19.433002,-99.15458
4, Sonora Grill Coapa,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,734 ,#5,"Calzada Acoxpa 610, Colonia Villa Coapa, Tlalpan, Ciudad de México 14390 México",http://sonoragrill.com.mx,19.294357,-99.12684
5, Restaurante Condimento Emporio Reforma,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,502 ,#6,"Av. Paseo De La Reforma 124, Col. Juárez Piso 1, Ciudad de México 06600 México",http://hotelesemporio.com/hoteles/emporio-ciudad-de-mexico/,19.431667,-99.157
6, Parole Polanco,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,"1,445 ",#7,"Av. Emilio Castelar 163, Colonia Polanco III, Ciudad de México 11540 México",http://parole.mx/en/location-cdmx-restaurant,19.430412,-99.1994
7, Taquería y Restaurante Takotl,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,148 ,#8,"Avenida Insurgentes sur 275 Roma Nte., Cuauhtémoc, Ciudad de México 06700 México",http://linkreview.biz/mx/takotl,19.416248,-99.16546
8, Zefiro,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,817 ,#10,"San Jerónimo 24 Centro Historico, Ciudad de México 06080 México",http://www.elclaustro.edu.mx/zefiro/,19.427332,-99.1382
9, La Vicenta,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,664 ,#10,"Calzada Vallejo 1090 Parque Vía Vallejo, nivel 2. Sta  Cruz de Las Salinas Azcapotzalco, Ciudad de México 02340 México",http://lavicenta.com.mx/,19.4866,-99.152115
10, Animal,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,511 ,#11,"Calle Calderón de la Barca 108 Polanco III Secc, Miguel Hidalgo, Ciudad de México 11540 México",http://costeno.com/animal,19.432081,-99.19929
11, Parrilla Urbana División del Norte,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,640 ,#12,"Avenida Division Del Norte, 911 Heriberto Frias, Ciudad de México 03100 México",http://parrillaurbana.com.mx/,19.393099,-99.16061
12, Sonora Grill Narvarte,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,398 ,#13,"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de México 03020 México",http://sonoragrill.com.mx/,19.393164,-99.16072
13, Cityzen Rooftop Kitchen,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,"1,039 ",#14,"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de México 06500 México",http://www.sofitel-mexico-city.com/restaurants/cityzen-rooftop/,19.428486,-99.166
14, Ilios Greek Restaurant Polanco,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,378 ,#15,"Avenida Presidente Masaryk, 311 Polanco, Ciudad de México 11550 México",http://iliosrestaurante.com.mx/cdmx,19.431807,-99.19404
15, Porfirio's Coapa,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,627 ,#16,"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de México 14390 México",http://porfirios.com.mx/,19.294926,-99.12639
16, Taboo Polanco,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,654 ,#17,"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de México 11550 México",http://taboorestaurant.com.mx/en/reservations/cdmx-restaurants,19.431421,-99.193085
17, Cambalache Plaza Oasis,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,737 ,#18,"Avenida Miguel Ángel De Quevedo 227 Plaza Oasis (Planta baja, frente la fuente), Ciudad de México 04310 México",http://www.cambalacherestaurantes.com/#coyoacan,19.344442,-99.17947
18, Almara,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,680 ,#19,"Hamburgo 195, Juárez, Cuauhtémoc Hotel Galería Plaza Reforma, Ciudad de México 06600 México",http://www.almara.rest,19.424809,-99.16803
19, KYU MÉXICO,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,350 ,#20,"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de México 11540 México",http://www.kyumexico.com,19.431955,-99.20089
20, Chambao Polanco,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,422 ,#21,"Av. Pdte. Masaryk 460, Polanco, Polanco III Secc, Miguel Hidalgo, Ciudad de México 11550 México",http://chambao.com.mx/es/reservaciones/polanco,19.431862,-99.20141
21, Quattro Gastronomía Italiana,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,722 ,#22,"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de México 01376 México",http://www.quattro.com.mx/,19.367119,-99.26036
22, Salute Food & Bar,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,"1,196 ",#23,"Terminal 2, Aeropuerto Internacional De La Ciudad De Mexico, Ciudad de México 15620 México",http://www.grupobgm.com.mx,19.423998,-99.07838
23, Pubbelly Masaryk,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,422 ,#24,"Av. Pdte. Masaryk 275-Local A6 Polanco IV Secc, Ciudad de México 11550 México",http://pubbelly.mx/,19.431568,-99.19219
24, Ryoshi Masaryk,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,468 ,#25,"Av Pdte. Masaryk 111 Col. Polanco, Ciudad de México 11560 México",http://www.ryoshi.mx/,19.431684,-99.18634
25, Harry's Polanco,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,"1,189 ",#26,"Avenida Presidente Masaryk 264 Polanco, Ciudad de México 11560 México",http://harrys.com.mx/,19.431606,-99.186584
26, Dalis pizzeria italiana,Ciudad de México,México,México Central y Costa del Golfo,5.0 ,328 ,#27,"Calle Emiliano Zapata, Ciudad de México 06000 México",http://www.facebook.com/DALIS-Pizzeria-Italiana-175947072830562/,19.433023,-99.12629
27, Sonora Grill Reforma,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,"1,738 ",#28,"39C Paseo de la Reforma, Ciudad de México 06030 México",http://sonoragrill.com.mx,19.43527,-99.15057
28, Mochomos,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,412 ,#30,"Avenida Paseo de Las Palmas no. 781 Sección 11560, Ciudad de México 11000 México",http://mochomos.mx,19.429089,-99.216774
29, Cambalache Escenaria,Ciudad de México,México,México Central y Costa del Golfo,4.5 ,211 ,#30,"AV San Jeronimo 263 Dentro de Plaza Escenaria, Ciudad de México 01090 México",http://www.cambalacherestaurantes.com,19.33526,-99.19907
30, Restaurante SSAM,Zona Metropolitana de Guadalajara,México,Jalisco,5.0 ,"1,035 ",#1,"Morelos 2122, Guadalajara 44600 México",http://www.facebook.com/RESTAURANTESSAMGDL/,20.675816,-103.37889
31, Octo Pescadería,Zona Metropolitana de Guadalajara,México,Jalisco,5.0 ,397 ,#2,"Lerdo de Tejada 2420 Entre Francisco Javier Gamboa y Calderon de la Barca, Guadalajara 44130 México",https://www.facebook.com/Octo-Pescader%C3%ADa-101809918565327/,20.670938,-103.37811
32, Porfirio's Guadalajara,Zona Metropolitana de Guadalajara,México,Jalisco,5.0 ,"1,464 ",#3,"Calle Sao Paulo 2334 A, Col. Providencia, Punto Sao Paulo Punto Sao Paulo, Guadalajara 44630 México",http://porfirios.com.mx/,20.70163,-103.37652
33, Gyropolus,Zona Metropolitana de Guadalajara,México,Jalisco,5.0 ,74 ,#4,"Calle Manuel López Cotilla 1370 Local 05, Casa Patrice, Col Americana, Guadalajara 44160 México",https://www.gyropolus.com/,20.673956,-103.36651
34, Bruna,Zona Metropolitana de Guadalajara,México,Jalisco,5.0 ,"3,032 ",#5,"Calle Lerdo de Tejada 2418 Colonia Lafayette, Guadalajara 44130 México",http://www.facebook.com/brunagdl/,20.670849,-103.37795
35, D'Franck,Zona Metropolitana de Guadalajara,México,Jalisco,5.0 ,247 ,#6,"Av. Adolfo Lopez Mateos Norte 2405, Italia Providencia. Centro Comercial Midtown Jalisco, Guadalajara 44648 México",http://www.dfranck.com.mx,20.693823,-103.37552
36, Sagrantino,Zona Metropolitana de Guadalajara,México,Jalisco,4.5 ,"1,582 ",#7,"Diagonal Golfo de Cortes 4152 Fraccionamiento Monraz, Guadalajara 44670 México",http://www.sagrantino.mx,20.68131,-103.39548
37, Hato Ramen,Zona Metropolitana de Guadalajara,México,Jalisco,4.5 ,453 ,#8,"Americana 44160, Guadalajara, Jal. MX Calle Efrain Gonzalez Luna 2079 Entre Marsella y Av. Chapultepec, Guadalajara 44160 México",http://hato.mx,20.669739,-103.36984
